;nome;num_colecao;extras;lingua;condicao;size;preco_unitario;preco_total
0;gyarados;(6, 102);foil;português;sp;1;54.0;54.0
1;machamp;(8, 102);foil, edition one;português;sp;1;;
2;mewtwo;(10, 102);foil;português;sp;1;219.99;219.99
3;beedrill;(17, 102);;português;sp;1;12.99;12.99
4;beedrill;(17, 102);;português;hp;1;2.99;2.99
5;dragonair;(18, 102);;português;mp;1;14.95;14.95
6;electabuzz;(20, 102);;inglês;mp;1;12.9;12.9
7;pidgeotto;(22, 102);;português;mp;1;14.9;14.9
8;arcanine;(23, 102);;português;mp;1;7.98;7.98
9;arcanine;(23, 102);;português;d;1;1.99;1.99
10;charmeleon;(24, 102);;português;sp;3;9.81;29.43
11;charmeleon;(24, 102);;português;hp;1;0.49;0.49
12;charmeleon;(24, 102);;português;d;2;0.49;0.98
13;charmeleon;(24, 102);;inglês;sp;1;1.99;1.99
14;dratini;(26, 102);;português;sp;1;5.99;5.99
15;dratini;(26, 102);;português;mp;1;1.26;1.26
16;dratini;(26, 102);;português;hp;2;0.72;1.44
17;growlithe;(28, 102);;português;sp;2;2.7;5.4
18;growlithe;(28, 102);;português;mp;1;0.72;0.72
19;growlithe;(28, 102);;português;hp;1;0.2;0.2
20;haunter;(29, 102);;português;sp;2;9.99;19.98
21;ivysaur;(30, 102);;português;sp;2;4.9;9.8
22;ivysaur;(30, 102);;português;mp;1;1.99;1.99
23;ivysaur;(30, 102);;inglês;hp;1;0.53;0.53
24;jynx;(31, 102);;português;nm;1;13.5;13.5
25;jynx;(31, 102);;português;sp;3;6.29;18.87
26;jynx;(31, 102);;português;mp;1;0.18;0.18
27;kadabra;(32, 102);;português;nm;2;19.98;39.96
28;kadabra;(32, 102);;português;sp;4;9.99;39.96
29;kakuna;(33, 102);;português;sp;2;2.98;5.96
30;machoke;(34, 102);;português;nm;2;;
31;machoke;(34, 102);;português;d;2;0.1;0.2
32;magikarp;(35, 102);;português;sp;2;14.31;28.62
33;magikarp;(35, 102);;português;mp;3;1.9;5.7
34;magikarp;(35, 102);;português;d;1;1.9;1.9
35;magmar;(36, 102);;português;sp;2;4.49;8.98
36;magmar;(36, 102);;português;hp;1;1.9;1.9
37;nidorino;(37, 102);;português;hp;1;2.99;2.99
38;poliwhirl;(38, 102);;português;nm;3;17.91;53.73
39;poliwhirl;(38, 102);;português;sp;1;2.0;2.0
40;poliwhirl;(38, 102);;português;d;1;1.9;1.9
41;seel;(41, 102);;português;nm;1;;
42;seel;(41, 102);;português;sp;1;0.99;0.99
43;abra;(43, 102);;português;nm;6;;
44;abra;(43, 102);;português;sp;3;1.2;3.6
45;abra;(43, 102);;português;mp;3;0.5;1.5
