;nome;num_colecao;extras;lingua;condicao;preco_unitario
0;Blaziken;(1, 106);Foil;Inglês;D;5.0
1;Blaziken;(1, 106);Foil;Japonês;SP;12.5
2;Blaziken;(1, 106);Foil, Edition One;Japonês;SP;12.5
3;Blaziken;(1, 106);Foil, Edition One;Japonês;NM;14.5
4;Blaziken;(1, 106);Reverse Foil;Inglês;MP;14.95
5;Blaziken;(1, 106);Foil;Inglês;D;16.9
6;Blaziken;(1, 106);Foil;Inglês;SP;22.9
7;Blaziken;(1, 106);Foil;Inglês;NM;22.99
8;Alakazam;(1, 165);Foil;Inglês;D;129.9
9;Articuno;(2, 62);Foil;Japonês;D;39.95
10;Articuno;(2, 62);Foil;Português;D;44.99
11;Articuno;(2, 62);Foil, Alterada, Edition One;Português;D;45.0
12;Articuno;(2, 62);Foil, Edition One;Português;D;81.0
13;Articuno;(2, 62);Foil;Italiano;SP;99.99
14;Articuno;(2, 62);Foil, Edition One;Português;D;119.95
15;Articuno;(2, 62);Foil;Inglês;;119.99
16;Articuno;(2, 62);Foil;Inglês;SP;149.99
17;Articuno;(2, 62);Foil, Edition One;Inglês;HP;150.0
18;Articuno;(2, 62);Foil;Inglês;SP;169.95
19;Articuno;(2, 62);Foil;Português;SP;170.0
20;Articuno;(2, 62);Foil;Inglês;SP;170.0
21;Articuno;(2, 62);Foil, Edition One;Português;MP;199.5
22;Articuno;(2, 62);Foil, Edition One;Português;SP;399.95
23;Articuno;(2, 62);Foil, Edition One;Português;NM;499.9
24;Articuno;(2, 62);Foil, Edition One;Inglês;SP;599.95
25;Team Aqua's Crawdaunt;(2, 95);Reverse Foil;Inglês;D;15.0
26;Team Aqua's Crawdaunt;(2, 95);Foil;Inglês;D;39.9
27;Team Aqua's Crawdaunt;(2, 95);Foil;Inglês;NM;59.9
28;Team Aqua's Crawdaunt;(2, 95);Foil;Inglês;MP;64.5
29;Team Aqua's Crawdaunt;(2, 95);Reverse Foil;Inglês;NM;74.5
30;Dark Crobat;(2, 105);Foil;Inglês;MP;700.0
31;Hitmontop;(3, 75);Foil;Inglês;D;24.5
32;Hitmontop;(3, 75);Foil;Japonês;NM;24.9
33;Hitmontop;(3, 75);Foil;Inglês;D;29.9
34;Hitmontop;(3, 75);Foil;Inglês;MP;35.95
35;Hitmontop;(3, 75);Foil;Japonês;NM;39.95
36;Hitmontop;(3, 75);Foil;Inglês;MP;40.0
37;Hitmontop;(3, 75);Foil;Inglês;D;44.9
38;Hitmontop;(3, 75);Foil;Inglês;MP;45.0
39;Hitmontop;(3, 75);Foil;Inglês;D;54.5
40;Hitmontop;(3, 75);Foil;Inglês;MP;54.9
41;Hitmontop;(3, 75);Foil;Inglês;HP;59.9
42;Hitmontop;(3, 75);Foil;Inglês;SP;62.9
43;Team Aqua's Kyogre;(3, 95);;Inglês;HP;4.5
44;Team Aqua's Kyogre;(3, 95);;Inglês;SP;4.5
45;Team Aqua's Kyogre;(3, 95);;Inglês;HP;7.49
46;Team Aqua's Kyogre;(3, 95);;Inglês;MP;7.9
47;Team Aqua's Kyogre;(3, 95);;Inglês;SP;8.0
48;Team Aqua's Kyogre;(3, 95);;Português;NM;8.1
49;Team Aqua's Kyogre;(3, 95);;Inglês;NM;8.1
50;Team Aqua's Kyogre;(3, 95);Foil;Inglês;MP;50.0
51;Team Aqua's Kyogre;(3, 95);Foil;Japonês;HP;79.5
52;Team Aqua's Kyogre;(3, 95);Foil;Inglês;NM;94.5
53;Crawdaunt;(3, 97);Foil;Inglês;D;1.5
54;Crawdaunt;(3, 97);Foil;Inglês;HP;2.0
55;Crawdaunt;(3, 97);Foil;Inglês;MP;4.0
56;Crawdaunt;(3, 97);Foil;Inglês;HP;4.0
57;Crawdaunt;(3, 97);Foil;Inglês;SP;4.95
58;Crawdaunt;(3, 97);Foil;Inglês;NM;7.95
59;Crawdaunt;(3, 97);Reverse Foil;Inglês;MP;11.9
60;Crawdaunt;(3, 97);Reverse Foil;Inglês;SP;12.95
61;Crawdaunt;(3, 97);Foil;Inglês;MP;24.5
62;Crawdaunt;(3, 97);Foil;Inglês;MP;24.9
63;Crawdaunt;(3, 97);Foil;Inglês;SP;29.5
64;Darkrai;(3, 100);Foil;Inglês;D;51.9
65;Darkrai;(3, 100);Foil;Inglês;SP;72.9
66;Exploud;(3, 106);Foil;Português;HP;2.0
67;Exploud;(3, 106);Foil;Português;HP;2.0
68;Exploud;(3, 106);Foil;Português;HP;2.0
69;Exploud;(3, 106);Foil;Português;SP;4.0
70;Exploud;(3, 106);Foil;Português;MP;4.0
71;Exploud;(3, 106);Reverse Foil;Português;D;4.0
72;Exploud;(3, 106);Foil;Português;SP;6.0
73;Exploud;(3, 106);Foil;Português;MP;9.95
74;Exploud;(3, 106);Foil;Português;NM;10.0
75;Exploud;(3, 106);Reverse Foil;Inglês;NM;10.0
76;Exploud;(3, 106);Foil;Português;D;13.9
77;Exploud;(3, 106);Foil;Português;HP;14.9
78;Exploud;(3, 106);Foil;Português;SP;14.95
79;Exploud;(3, 106);Foil;Português;MP;17.9
80;Exploud;(3, 106);Reverse Foil;Português;SP;18.9
81;Exploud;(3, 106);Foil;Português;SP;18.9
82;Exploud;(3, 106);Foil;Português;MP;34.5
83;Exploud;(3, 106);Foil;Português;SP;39.5
